N_Gis;N_Pla;Demarcaci¢n;Unidad Ctra.;Carretera;PK;Tipo de Eje;Gis_X;Gis_Y;Direccional/C¢digo;C¢digo;Geometr¡a;Doc_WMFNombre;Tipo de Soporte;Pos_Angulo;Doc_WMFAncho;Doc_WMFAlto;Pla_OrdenFila;Sop_Panel
1;1;Madrid;Madrid;A-5;10,742;Tronco;431827;4469174,56;Vertical;R-2;Oct¢gono;R2.Png;Poste;0,8744988;531;531;1;Frontal
2;2;Madrid;Madrid;A-5;10,769;Tronco;431801,1;4469162,22;Vertical;R-101;C¡rculo;R101.Png;Poste;2,3951358;531;531;1;Frontal
3;3;Madrid;Madrid;A-5;10,701;Tronco;431851,22;4469207,81;Vertical;R-400c;C¡rculo;R400C.Png;Poste;5,5136588;531;531;1;Frontal
3;4;Madrid;Madrid;A-5;10,701;Tronco;431851,22;4469207,81;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,5136588;736;649;2;Frontal
4;5;Madrid;Madrid;A-5;10,674;Tronco;431869,71;4469228,27;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;5,5181926;531;797;1;Frontal
5;6;Madrid;Madrid;A-5;10,755;Tronco;431811,62;4469171,11;Vertical;R-107_3;C¡rculo;R107_3.Png;Poste;4,764972;531;531;1;Frontal
6;7;Madrid;Madrid;A-5;10,738;Tronco;431798,97;4469207,98;Vertical;R-101;C¡rculo;R101.Png;Poste;3,2155316;531;531;1;Frontal
7;8;Madrid;Madrid;A-5;10,746;Tronco;431794,72;4469201,81;Vertical;R-401a;C¡rculo;R401A.Png;Poste;3,9495435;531;531;1;Frontal
8;9;Madrid;Madrid;A-5;10,76;Tronco;431785,89;4469190,03;Vertical;R-400d;C¡rculo;R400D.Png;Poste;3,0845115;531;531;1;Frontal
8;10;Madrid;Madrid;A-5;10,76;Tronco;431785,89;4469190,03;Vertical;R-2;Oct¢gono;R2.Png;Poste;3,0845115;531;531;2;Frontal
9;11;Madrid;Madrid;A-5;10,747;Tronco;431815,4;4469179,34;Vertical;R-400d;C¡rculo;R400D.Png;Poste;0,7853982;531;531;1;Frontal
10;12;Madrid;Madrid;A-5;11,501;Tronco;431272,93;4468692,23;Vertical;R-400a;C¡rculo;R400A.Png;Poste;3,2564692;531;531;1;Frontal
10;13;Madrid;Madrid;A-5;11,501;Tronco;431272,93;4468692,23;Vertical;R-2;Oct¢gono;R2.Png;Poste;3,2564692;531;531;2;Frontal
11;14;Madrid;Madrid;A-5;11,545;Tronco;431243,41;4468663,86;Vertical;R-301_90;C¡rculo;R301_90.Png;Poste;2,3230941;531;531;1;Frontal
12;15;Madrid;Madrid;A-5;11,574;Tronco;431224,03;4468643,75;Vertical;S-2a;Rect ngulo;S02A.Png;Poste;2,3656285;531;797;1;Frontal
13;16;Madrid;Madrid;A-5;11,634;Tronco;431180,88;4468603,96;Vertical;S-62;Rect ngulo;S62.Png;Poste;2,3855979;956;1116;1;Frontal
14;17;Madrid;Madrid;A-5;11,729;Tronco;431111,14;4468541,01;Vertical;P-14a;Tri ngulo;P14A.Png;Poste;2,3561945;736;648;1;Frontal
14;18;Madrid;Madrid;A-5;11,729;Tronco;431111,14;4468541,01;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;2,3561945;531;531;2;Frontal
15;19;Madrid;Madrid;A-5;11,786;Ramal;431072,34;4468506,76;Vertical;S-62;Rect ngulo;S62.Png;Poste;2,3561945;956;1116;1;Frontal
16;20;Madrid;Madrid;A-5;11,895;Ramal;430996,35;4468449,59;Direccional;Direccional;;A5_MAD_H004_01251A.Png;Portico;1,9132693;2677;1033;1;Frontal
16;21;Madrid;Madrid;A-5;11,895;Ramal;430996,35;4468449,59;Direccional;Direccional;;A5_MAD_H004_01251B.Png;Portico;1,9132693;2322;1033;1;Frontal
17;22;Madrid;Madrid;A-5;11,86;Tronco;431033,76;4468456,82;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;2,1045045;531;531;1;Frontal
18;23;Madrid;Madrid;A-5;11,93;Ramal;430969,12;4468430,12;Vertical;S-51;Cuadrado;S51.Png;Poste;1,9055333;531;531;1;Frontal
19;24;Madrid;Madrid;A-5;12,003;Ramal;430902,99;4468419,3;Vertical;R-401a;C¡rculo;R401A.Png;Poste;5,0711597;531;531;1;Frontal
20;25;Madrid;Madrid;A-5;11,972;Ramal;430936,55;4468422,7;Vertical;R-101;C¡rculo;R101.Png;Poste;4,9228985;531;531;1;Frontal
21;26;Madrid;Madrid;A-5;11,989;Ramal;430935,35;4468395,16;Vertical;R-1;Tri ngulo;R1.Png;Poste;3,4846166;736;649;1;Frontal
22;27;Madrid;Madrid;A-5;12,004;Tronco;430939,27;4468364,6;Vertical;R-400c;C¡rculo;R400C.Png;Poste;2,4475425;531;531;1;Frontal
22;1779;Madrid;Madrid;A-5;12,004;Tronco;430939,27;4468364,6;Vertical;R-101;C¡rculo;R101.Png;Poste;2,4475425;531;531;1;Posterior
23;28;Madrid;Madrid;A-5;12,009;Tronco;430926,37;4468366,7;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;2,918619;531;797;1;Frontal
24;29;Madrid;Madrid;A-5;12,078;Tronco;430869,85;4468327,26;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,5024213;531;531;1;Frontal
25;30;Madrid;Madrid;A-5;12,053;Ramal;430856,28;4468379,79;Vertical;R-1;Tri ngulo;R1.Png;Poste;6,1211569;736;649;1;Frontal
25;31;Madrid;Madrid;A-5;12,053;Ramal;430856,28;4468379,79;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;6,1211569;531;177;2;Frontal
26;32;Madrid;Madrid;A-5;12,036;Ramal;430854,2;4468408,05;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;2,4227629;531;531;1;Frontal
27;1709;Madrid;Madrid;A-5;12,055;Ramal;430840,39;4468395,37;Vertical;B3a;Panel;B3A.Png;Poste;2,7656321;944;236;1;Frontal
28;1710;Madrid;Madrid;A-5;12,064;Ramal;430838,88;4468384,1;Vertical;B3a;Panel;B3A.Png;Poste;2,9272881;944;236;1;Frontal
29;1711;Madrid;Madrid;A-5;12,068;Ramal;430838,4;4468373,4;Vertical;B3a;Panel;B3A.Png;Poste;3,0172379;944;236;1;Frontal
30;1712;Madrid;Madrid;A-5;12,077;Ramal;430839,36;4468359,67;Vertical;B3a;Panel;B3A.Png;Poste;3,2469702;944;236;1;Frontal
31;1713;Madrid;Madrid;A-5;12,084;Ramal;430842,39;4468346,58;Vertical;B3a;Panel;B3A.Png;Poste;3,2607435;944;236;1;Frontal
32;1715;Madrid;Madrid;A-5;12,096;Ramal;430853,47;4468319,12;Vertical;B3a;Panel;B3A.Png;Poste;3,6625024;944;236;1;Frontal
33;1714;Madrid;Madrid;A-5;12,091;Ramal;430846,7;4468333,17;Vertical;B3a;Panel;B3A.Png;Poste;3,5637415;944;236;1;Frontal
34;33;Madrid;Madrid;A-5;12,092;Ramal;430807,17;4468372,93;Vertical;P-14b;Tri ngulo;P14B.Png;Poste;2,7438218;736;648;1;Frontal
34;34;Madrid;Madrid;A-5;12,092;Ramal;430807,17;4468372,93;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;2,7438218;531;531;2;Frontal
35;35;Madrid;Madrid;A-5;12,046;Tronco;430905,77;4468335,27;Vertical;R-400c;C¡rculo;R400C.Png;Poste;2,3259005;531;531;1;Frontal
35;36;Madrid;Madrid;A-5;12,046;Tronco;430905,77;4468335,27;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,3259005;736;649;2;Frontal
36;37;Madrid;Madrid;A-5;12,194;Tronco;430786,73;4468250,14;Vertical;R-101;C¡rculo;R101.Png;Poste;5,9614347;531;531;1;Frontal
37;38;Madrid;Madrid;A-5;12,214;Tronco;430787,37;4468222,36;Vertical;R-400a;C¡rculo;R400A.Png;Poste;4,1963549;531;531;1;Frontal
38;39;Madrid;Madrid;A-5;12,231;Tronco;430767,26;4468219,01;Direccional;Direccional;;A5_MAD_H004_01248.Png;Preaviso;2,4932605;1387;1535;1;Frontal
39;40;Madrid;Madrid;A-5;12,205;Tronco;430830,94;4468190,03;Direccional;Direccional;;A5_MAD_H004_01246.Png;FlechaD;5,471706;2216;991;1;Frontal
40;41;Madrid;Madrid;A-5;12,29;Tronco;430771,63;4468132,76;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;5,5845255;531;531;1;Frontal
40;42;Madrid;Madrid;A-5;12,29;Tronco;430771,63;4468132,76;Vertical;S-870;Cuadrado;S870.Png;Poste;5,5845255;472;236;2;Frontal
41;43;Madrid;Madrid;A-5;12,196;Tronco;430848,29;4468184,28;Vertical;S-2a;Rect ngulo;S02A.Png;Poste;5,0891003;531;797;1;Frontal
42;44;Madrid;Madrid;A-5;12,181;Tronco;430854,36;4468199,85;Vertical;B2D;Panel;B2D.Png;Poste;4,9337035;472;236;1;Frontal
43;45;Madrid;Madrid;A-5;12,182;Tronco;430862,45;4468189,53;Vertical;R-308;C¡rculo;R308.Png;Farola;3,3015059;531;531;1;Frontal
44;46;Madrid;Madrid;A-5;12,164;Tronco;430875,92;4468201,76;Vertical;B2D;Panel;B2D.Png;Poste;4,8565432;472;236;1;Frontal
45;47;Madrid;Madrid;A-5;12,17;Ramal;430877,68;4468190,59;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;4,7457099;531;531;1;Frontal
46;48;Madrid;Madrid;A-5;12,153;Ramal;430892,36;4468199,37;Vertical;B2D;Panel;B2D.Png;Poste;4,6906533;472;236;1;Frontal
47;49;Madrid;Madrid;A-5;12,155;Ramal;430897,06;4468191,39;Vertical;R-308;C¡rculo;R308.Png;Poste;3,1415927;531;531;1;Frontal
48;50;Madrid;Madrid;A-5;12,144;Ramal;430914,31;4468189,47;Vertical;R-308;C¡rculo;R308.Png;Poste;2,9774391;531;531;1;Frontal
49;51;Madrid;Madrid;A-5;12,135;Ramal;430929,79;4468185,8;Vertical;R-308;C¡rculo;R308.Png;Poste;2,8517459;531;531;1;Frontal
50;52;Madrid;Madrid;A-5;12,127;Ramal;430945,92;4468180,85;Vertical;R-308;C¡rculo;R308.Png;Poste;2,876018;531;531;1;Frontal
51;53;Madrid;Madrid;A-5;12,119;Ramal;430965,24;4468173,03;Vertical;R-308L;C¡rculo;R308L.Png;Farola;2,787396;531;531;1;Frontal
54;55;Madrid;Madrid;A-5;12,097;Ramal;430933,72;4468234,98;Vertical;R-308L;C¡rculo;R308L.Png;Poste;2,3629057;531;531;1;Frontal
55;56;Madrid;Madrid;A-5;12,08;Tronco;430926,44;4468265,47;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;0,7168782;531;531;1;Frontal
56;1716;Madrid;Madrid;A-5;12,079;Ramal;430943,69;4468248,87;Vertical;P-13a;Tri ngulo;P13A.Png;Poste;0,7188298;736;648;1;Frontal
57;57;Madrid;Madrid;A-5;12,078;Ramal;431055,32;4468134,46;Direccional;Direccional;;A5_MAD_H004_01242A.Png;Portico;0,7998899;1771;1722;1;Frontal
57;58;Madrid;Madrid;A-5;12,078;Ramal;431055,32;4468134,46;Direccional;Direccional;;A5_MAD_H004_01242B.Png;Portico;0,7998899;2225;1708;1;Frontal
58;59;Madrid;Madrid;A-5;12,076;Ramal;431030,67;4468162,18;Direccional;Direccional;;A5_MAD_H004_01243.Png;FlechaID;0,5984189;1204;949;1;Frontal
59;1949;Madrid;Madrid;A-5;12,069;Ramal;431002,42;4468202,04;Direccional;Direccional;;A5_MAD_H004_01252.Png;Confirmacion;0,486032;1328;1313;1;Frontal
60;60;Madrid;Madrid;A-5;12,056;Ramal;431014,84;4468199,74;Direccional;Direccional;;A5_MAD_H004_01244A.Png;Portico;0,4993467;2293;1658;1;Frontal
60;61;Madrid;Madrid;A-5;12,056;Ramal;431014,84;4468199,74;Direccional;Direccional;;A5_MAD_H004_01244B.Png;Portico;0,4993467;1968;1722;1;Frontal
61;62;Madrid;Madrid;A-5;11,999;Ramal;430999,73;4468282,71;Vertical;R-301_80;C¡rculo;R301_80.Png;Poste;6,0586879;531;531;1;Frontal
62;63;Madrid;Madrid;A-5;11,973;Ramal;431010,9;4468309,7;Vertical;P-31;Tri ngulo;P31.Png;Poste;5,7315304;736;648;1;Frontal
63;64;Madrid;Madrid;A-5;11,944;Tronco;431027,75;4468334,32;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;5,5131706;531;797;1;Frontal
64;65;Madrid;Madrid;A-5;11,953;Tronco;431016,58;4468336,17;Vertical;R-400c;C¡rculo;R400C.Png;Poste;5,431219;531;531;1;Frontal
64;1475;Madrid;Madrid;A-5;11,953;Tronco;431016,58;4468336,17;Vertical;R-101;C¡rculo;R101.Png;Poste;5,431219;531;531;1;Posterior
65;66;Madrid;Madrid;A-5;12,41;Tronco;430643,71;4468097,63;Direccional;Direccional;;A5_MAD_H004_01249.Png;FlechaD;2,3132761;2110;991;1;Frontal
66;67;Madrid;Madrid;A-5;12,394;Tronco;430653,03;4468109,16;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;2,0564184;531;531;1;Frontal
66;68;Madrid;Madrid;A-5;12,394;Tronco;430653,03;4468109,16;Vertical;S-870;Cuadrado;S870.Png;Poste;2,0564184;472;236;2;Frontal
67;69;Madrid;Madrid;A-5;12,42;Ramal;430622,21;4468104,85;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;1,5200784;531;531;1;Frontal
68;70;Madrid;Madrid;A-5;12,74;Tronco;430413,37;4467874,32;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;1,8121517;531;531;1;Frontal
69;71;Madrid;Madrid;A-5;12,733;Ramal;430410,38;4467887,94;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;1,8662373;531;531;1;Frontal
70;72;Madrid;Madrid;A-5;12,709;Tronco;430430,36;4467899,84;Direccional;Direccional;;A5_MAD_H006_01253.Png;Confirmacion;2,0685214;1889;1948;1;Frontal
71;73;Madrid;Madrid;A-5;12,68;Tronco;430456,47;4467913,49;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,3147088;736;649;1;Frontal
71;74;Madrid;Madrid;A-5;12,68;Tronco;430456,47;4467913,49;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;2,3147088;531;177;2;Frontal
72;75;Madrid;Madrid;A-5;12,645;Tronco;430482,98;4467935,73;Vertical;P-4;Tri ngulo;P04.Png;Poste;2,3305589;736;648;1;Frontal
73;76;Madrid;Madrid;A-5;12,777;Ramal;430364,29;4467874,85;Vertical;B2B;Panel;B2B.Png;Poste;2,0663478;944;236;1;Frontal
74;77;Madrid;Madrid;A-5;12,78;Ramal;430373,45;4467861,12;Vertical;B2B;Panel;B2B.Png;Poste;2,0669768;944;236;1;Frontal
75;78;Madrid;Madrid;A-5;12,776;Ramal;430371;4467868,89;Vertical;R-402;C¡rculo;R402.Png;Poste;2,142634;531;531;1;Frontal
